,,,Feb 24,Pull ups to Failure x2,7.5,5 + partial reps,,,0,,,Feb 25,Smith Machine Incline Bench 7/45 * 2 + 8/40 * 2,7/45,5/45,6/40,6/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1508,N-grip Pull ups to Failure x2,5+partial reps,3+partial reps,,,0,Inclusion of partial reps feels effective,,1520,Dumbell Chest Press 3/12/10ea,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1618,T-bar rows 3/12/20,12,12,12,,20,Increased reps to 12. Maintain,,1641,Pec Dec flies 3/10/35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lat cable pull downs 3/12/40,12/41,12/41,12/32,,,Forearms completely failing,,,Military press 3/8/25,12/25,9/30,6/30,,,Increase weight to 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lat cable rows 3/10/40 (pause for 3 seconds),,,,,,,,,Machine Chest Press 3/10/40,12/30,13/30,9.5/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hammer Curls 3/12/10,14/10,,,,,,,,Overhead Tricep Rope Pull down 2/12/27.5,15/27.5,15/32,13/36,,,Definitely add weight / use bar instead of rope,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Preacher Curls 3/10/35,,,,,,,,,Tricep Rope Pull down 2/12/27.5,8/36,7/36 + 5/32,6/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mar 1,,,,,,,,,Mar 2,Smith Machine Incline Bench 7/45 + 7/50 + 7/40,7/45,5.5/50,6/45,,,Maybe start with 50 next time / stick to 45? until I reach 10 clean reps,,Mar 3,Perfect Squats 4/8/20,8,8,7.5,7,,4 sets not easy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1427,Machine Chest Press 3/10/40,10/40,9.5/40,7.5/50,,,9/40? or retain,,1740,Seated Leg press 3/8/60,6/60,7/60,6/60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1540,Pec Dec flies 2/10/40,10/40,7.5/40,,,,,,1810,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Dumbell Chest Press 2/12/10ea,16/10,12/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Military press 3/8/30,11/30,7.5/35,6.5/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Overhead Tricep Rope Pull down 2/12/36,12/36,9/36,,,,Try 11/36,,,,,,,,,,,Back + Chest,,,,,,,,,Arms + Shoulders,,,,,,,,
,,,,,,,,,,,,,Tricep Rope Pull down 2/12/36,7.5/32,6/32,7/22.5,,,,,,,,,,,,,,Date,Exercise,Set 1,Set 2,Set 3,Set 4,Weight,RPE,,Date,Exercise,Plan,Set 1,Set 2,Set 3,Set 4,Weight,RPE
,,,Mar 5,Pull ups to Failure x3,7+2 negatives,3 + 4 negatives,1+5 Negatives,,0,,,Mar 6,Smith Machine Incline 6/50 + 6/50 + 6/45 + 6/45,6/50,4/50,7.5/40,6/40,,,,Mar 7,Perfect Squats 4/8/30,10/20,8/30,6/30,8/20,,Start w/ 30 and subsequently lower,,Mar 8,Pull ups x2,7+3,6+5,,,,,,Mar 8,Lateral Raises,3/f/4,31/4,22/4,15/6,,Maybe go with 6..??,
,,,1205,N-grip Pull ups to Failure x2,4+3,4+1,,,0,,,945,Machine Chest Press 3/10/40,12/40,7/40,7/40,,,,,1600,Seated leg press 4/7/60,7/60,7/60,7/60,8/20,,,,1532,Smith Machine Incline Warmup + 7/50 + 7/50 + 7/40,Warmup,5/50,8.5/40,8.5/40,,,,1618,Dumbell Drag Curls,2/f/14,11/10,Focused on breathing/10,,,,
,,,1306,T-bar rows 4/9/30,15/20,9/25,10/25,,,,,1120,Pec Dec flies 2/10/40,8/40,12ea/25,6/50,,,,,1708,Hip Abductions 3/12/72.5,12/72.5,8.5/80,9.5/80,10/72.5,,Start with 80,,1655,T-bar rows Warmups + 2/9/30,10/30,14/20,,,,Go with 10/25,,1717,Military Press,3/10/30,6/30,9/20,11/20,,Lower to 20,
,,,,Lat cable pull downs 4/12/40,10/41,10/45,6.5/45,,,Increase to 45,,,Dumbell Chest Press 2/12/10ea,12/10,12/12,14/12,,,Increase to 3/12/12,,,Leg extensions 3/12/42.5,12/42.5,9.5/42.5,10/50,,,,,,Machine Chest Press 3/10/50,7/30 (incline),5/30 (incline),4.5/30 (incline),,,,,,Reverse Curls,2/f/20,Focues on breathing/15,13/15,,,Lower to 15,
,,,,Lat cable rows 3/10/40 (pause for 3 seconds),12/32,12/32,12/32,,,Forearms are failing,,,Military press 4/8/35,6/35,6.5/30,6/30,6/30,,,,,,,,,,,,,,Lat cable pull downs 2/12/45,14/45,8/50,,,,,,,Overhead Tricep Rope Pulldown,2/12/32,20/32,8/41 + 4/32,,,Go with 41,
,,,,Reverse Curls 3/12/10,,,,,,,,,Overhead Tricep Rope Pull down 2/12/36,13/36,5/41+4/36,6/36,,,,,,,,,,,,,,,Dumbell Chest Press 3/12/12,12/12,15/12,12/12,,,,,,Tricep rope pulldown,2/12/27,5/32 + 4/27.5,8.5/27.5,,,Go with 27.5,
,,,,Preacher Curls 3/10/35,12/35,7/40,7/35,,,,,,Tricep Rope Pull down 3/12/36,8.5/32,6/32,6/32,,,,,,,,,,,,,,,,,,,,,,,,Preacher Curls,2/10/40,9/40,7/40,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back/6 + Chest/9,,,,,,,,,S/6 + Bi/6 + Tri/4,,,,,,,
,Weekly sets,,Mar 11,Pull ups to Failure,2,6+4,6+4,,0,,,,Smith Machine Incline,2/6/50,,,,,,,Mar 13,Smith Machine Incline,2/6/50,8,7.5,,,8/50,,Mar 15,Pull ups,x2,6+,6+,,,Try to reach 7 reps,,Mar 16,Lateral Raises,2/f/4,30,20,,,,
,Back,20,1610,T-bar rows,2/9/30,10,8,,25,Retain 25,,,Machine Chest Press ,2/10/50,,,,,,,1904,Machine Chest Press,2/10/50,10/50,8/50,,,Increase to 50,,74.56,Smith Machine Incline Warmup,2/6/50,4/50,8.5/40,,,Start with 40 or 45,,,Barbell Curls,2/f/20,12/20,12.5/20,,,Maybe go with 25,
,Chest,12,1656,Lat cable pull downs,2/12/40,12.5/45.5,12/45.5,,45.5,Maybe lower weight and achieve full ROM?,,,Pec Dec flies ,2/10/50,,,,,,,1957,Pec Dec flies,2/10/50,6/50,7/40,,,,,1527,T-bar rows,2/9/25,Warm up,15/10,14/20,,Full ROM with 20,,,Military Press,2/10/25,12/25,12/25,,,,
,Lower Body,9,,Lat cable rows,2/10/40 (pause for 3 seconds),7/40,10/35,,,,,,Dumbell Chest Press,2/12/12,,,,,,,,Dumbell Chest Press,2/12/12,14/14,,,,,,1650,Machine Chest Press ,2/10/50,14/40,10/50,6/40,,,,,Reverse Curls,2/15/15,17/15,17/15,,,,
,Shoulders,20,,,,,,,,,,,Lateral Raises,2/f/6,,,,,,,,Lateral Raises,2/f/6,15/6,10/6+6/4,,,,,,Lat cable pull downs (Full ROM),2/12/33,20/27.5,20/32,,,Full ROM with 32,,,Overhead Tricep Rope Pulldown,2/12/41,9/41,8/41,,,,
,Triceps,9,,,,,,,,,,,Military press ,2/10/25,,,,,,,,Military press,2/10/25,10/25,8.5/25,,,,,,Dumbell Chest Press ,2/12/12,14/14,14/12,,,,,,Tricep rope pulldown,2/12/27.5,8/27.5,12.5/27.5,,,,
,Biceps,9,,,,,,,,,,,Overhead Tricep Rope Pulldown,2/12/41,,,,,,,,,,,,,,,,,,,,,,,,,,Preacher Curls,2/10/40,9.5/40,9.5/40,,,,
,,,,,,,,,,,,,Tricep rope pulldown,2/12/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Back/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mar 18,Pull ups,x2,8+5+4,5+3,,,,,,,,,,,,,,Mar 20,Incline smith machine chest press,2/7/50,Warmup/40,8/50,6.5/50,,,,Mar 22,Pull ups,8,6,,,,,,Mar 23,Lateral Raises,2/f/4,20/4,20/4,,,Add 3rd set?,
,,,,Barbell rows,2/15/30,,,,,,,,,,,,,,,,1926,Chest press machine,2/10/40,12/40,9.5/40,,,,,74.48,Incline bench,11/40,9.5/40,,,,,,1907,Barbell Curls,2/f/25,8.5/25,12/20,,,Stick with 20,
,,,,Lat pull downs,2/20/33,20/33,20/36,,,Increase weight to 36,,,,,,,,,,,2011,Pec dec flies,2/10/50,,,,,,,,Smith Machine row,9/40,14/30,,,,,,2001,Military Press,2/12/25,13/25,12/25,,,,
,,,,Cable rows,2/15/40,15/40,9/45,,,,,,,,,,,,,,,Dumbell chest press,2/10/14,12/14,12/14,,,,,,Machine chest press,12/40,12/40,,,,,,,Reverse Curls,2/15/15,16/15,12/15,,,Move within the upper part of the ROM.,
,,,,Reverse Curls,2/12/20,12/20,9/20,,,,,,,,,,,,,,,Lateral Raises,2/f/6,,,,,,,,,,,,,,,,,Overhead Tricep Rope Pulldown,2/12/41,12/41+4/36,7/41+4/32,,,,
,,,,Preacher Curls,2/8/45,6/45+3/35,,,,,,,,,,,,,,,,Military press,2/10/25,,,,,,,,,,,,,,,,,Tricep rope pulldown,2/12/27.5,12/27.5,10/27.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral Hammer Curls,2/10/12ea,10/12,10/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
